movie,year,rating,director,starCast,crew,language
Kahaani,2012,8.0,Sujoy Ghosh (dir.)," Vidya Balan, Parambrata Chatterjee"," Vidya Balan , Parambrata Chatterjee , Indraneil Sengupta , Nawazuddin Siddiqui , Dhritiman Chatterjee , Saswata Chatterjee , Darshan Jariwala , Sk. Azad Ahmed , Masood Akhtar , Mohd. Faiz Alam , Roshni Ali , Anindya Pulak Banerjee , Kamalika Banerjee , Dibyendu Bardhan , Paresh Bhowmick ",Hindi
PK,2014,8.0,Rajkumar Hirani (dir.)," Aamir Khan, Anushka Sharma"," Aamir Khan , Anushka Sharma , Saurabh Shukla , Sanjay Dutt , Boman Irani , Sushant Singh Rajput , Parikshat Sahni , Amardeep Jha , Reema Debnath , Dheerendra Dwivedi , Sai Gundewar , Ram P. Sethi , Rukhsar Rehman , Arun Bali , Pallavi Batra ",Hindi
Iqbal,2005,8.0,Nagesh Kukunoor (dir.)," Shreyas Talpade, Naseeruddin Shah"," Shreyas Talpade , Naseeruddin Shah , Shweta Prasad , Yatin Karyekar , Prateeksha Lonkar , Girish Karnad , Dilip Salgaonkar , Jyoti Joshi , Aadarsh Balakrishna , Gururaj Manepalli , Rajita Joshi , Srikanth Chitrao , Vikram Inamdar , Elahe Hiptoola , Balaji Manohar ",Hindi
Zindagi Na Milegi Dobara,2011,8.0,Zoya Akhtar (dir.)," Hrithik Roshan, Farhan Akhtar"," Hrithik Roshan , Farhan Akhtar , Abhay Deol , Katrina Kaif , Kalki Koechlin , Ariadna Cabrol , Naseeruddin Shah , Deepti Naval , Surpreet Bedi , Anisa Butt , Juan Jose Amador , Aashrita Kamath , Lolo Herrero , Barbara Holzer , Ravi Khemu ",Hindi
Arjun Reddy,2017,8.0,Sandeep Reddy Vanga (dir.)," Vijay Deverakonda, Shalini Pandey"," Vijay Deverakonda , Shalini Pandey , Amit Sharma , Rahul Ramakrishna , Harshavardhan Reddy Alla , Aneesha , Anusha , Arun Babu , Kalyan Babu , Gopinath Bhat , Pawan Chowdary , Greeshma , R.J. Hemant , Jai , Sandhya Janak ",Telugu
Maqbool,2003,8.0,Vishal Bhardwaj (dir.)," Irrfan Khan, Tabu"," Irrfan Khan , Tabu , Pankaj Kapur , Naseeruddin Shah , Om Puri , Piyush Mishra , Masumeh Makhija , Ajay Gehi , Abbas Tyrewala , Deepak Dobriyal , Gyanchand Rikki , Manav Kaushik , Ankur Vikal , Pubali Sanyal , Raj ",Hindi
Theeran Adhigaaram Ondru,2017,8.0,H. Vinoth (dir.)," Karthi, Rakul Preet Singh"," Karthi , Rakul Preet Singh , Abhimanyu Singh , Bose Venkat , Praveena , Manobala , Sathyan , Sonia , R.N.R. Manohar , Kishore Kadam , Varghese Mathew , Rohit Pathak , Narra Srinivas , Surender Thakur , Prayas Mann ",Tamil
Masaan,2015,8.0,Neeraj Ghaywan (dir.)," Richa Chadha, Sanjay Mishra"," Richa Chadha , Sanjay Mishra , Vicky Kaushal , Pankaj Tripathi , Vineet Kumar , Bhagwan Tiwari , Bhupesh Singh , Satya Kam Anand , Saurabh Chadhary , Mohit Abrol , Deepak Agarwal , Harsh Agarwal , Manish Agrahari , Jamal Ahmad , Ana ",Hindi
Baasha,1995,8.0,Suresh Krishna (dir.)," Rajinikanth, Nagma"," Rajinikanth , Nagma , Raghuvaran , Vijayakumar , Janagaraj , Devan , Anandraj , Sasikumar , Sathyapriya , Yuvarani , Charan Raj , Shenbaga , Raja Krishnamoorthy , Sethu Vinayakam , Kavithalaya Krishnan ",Tamil
The Legend of Bhagat Singh,2002,8.0,Rajkumar Santoshi (dir.)," Ajay Devgn, Sushant Singh"," Ajay Devgn , Sushant Singh , D. Santosh , Akhilendra Mishra , Raj Babbar , Farida Jalal , Amrita Rao , Mukesh Tiwari , Surendra Rajan , Saurabh Dubey , Swaroop Kumar , Arun Patwardhan , Keneth Desai , Sitaram Panchal , Bhaswar Chatterjee ",Hindi
Omkara,2006,8.0,Vishal Bhardwaj (dir.)," Ajay Devgn, Saif Ali Khan"," Ajay Devgn , Saif Ali Khan , Vivek Oberoi , Kareena Kapoor , Konkona Sen Sharma , Bipasha Basu , Naseeruddin Shah , Deepak Dobriyal , Manav Kaushik , Kamal Tiwari , Chetana Das , Rahul Kumar , Omkaar , Niraj Sah , Pankaj Tripathi ",Hindi
Barfi!,2012,8.0,Anurag Basu (dir.)," Ranbir Kapoor, Priyanka Chopra"," Ranbir Kapoor , Priyanka Chopra , Ileana D'Cruz , Saurabh Shukla , Rupa Ganguly , Ashish Vidyarthi , Bholaraj Sapkota , Jishu Sengupta , Haradhan Bannerjee , Akash Khurana , Arun Bali , Uday Tikekar , Preiti Mamgain , Sumona Chakravarti , Sujata Sehgal ",Hindi
Lage Raho Munna Bhai,2006,8.0,Rajkumar Hirani (dir.)," Sanjay Dutt, Arshad Warsi"," Sanjay Dutt , Arshad Warsi , Vidya Balan , Jimmy Sheirgill , Dia Mirza , Boman Irani , Dilip Prabhavalkar , Kulbhushan Kharbanda , Parikshat Sahni , Saurabh Shukla , Supriya Shukla , Achyut Potdar , Atmaram Bhende , Arun Bali , Bomie E. Dotiwala ",Hindi
Bommarillu,2006,8.0,Bhaskar (dir.)," Siddharth, Genelia D'Souza"," Siddharth , Genelia D'Souza , Prakash Raj , Srinivasa Rao Kota , Jayasudha , Dharmavarapu Subramanyam , Suneel , Brahmanandam , Tanikella Bharani , Neha Bamb , Murali Mohan , Chitram Seenu , Ravi Verma , Surekha Vani , Satya Krishnan ",Telugu
Bombay,1995,8.0,Mani Ratnam (dir.)," Arvind Swamy, Manisha Koirala"," Arvind Swamy , Manisha Koirala , Nassar , Kitty , Master Harsha , Master Hriday , Tinnu Anand , Akash Khurana , Nagendra Prasad , Prakash Raj , Sonali Bendre , M.V. Vasudeva Rao , Ratnakar , Rallapalli , Deesh Mariwala ",Tamil
Deewaar,1975,8.0,Yash Chopra (dir.)," Amitabh Bachchan, Shashi Kapoor"," Amitabh Bachchan , Shashi Kapoor , Nirupa Roy , Parveen Babi , Neetu Singh , Manmohan Krishna , Madan Puri , Iftekhar , Satyendra Kapoor , Sudhir , Rajpal , Jagdish Raj , Kuljit Singh , Raj Kishore , Yunus Parvez ",Hindi
Lucia,2013,8.0,Pawan Kumar (dir.)," Sathish Neenasam, Sruthi Hariharan"," Sathish Neenasam , Sruthi Hariharan , Achyuth Kumar , Sabreen Baker , Pawan Kumar , Ram Manjjonaath , Rishab Shetty ",Kannada
Ugly,2013,8.0,Anurag Kashyap (dir.)," Rahul Bhat, Ronit Roy"," Rahul Bhat , Ronit Roy , Tejaswini Kolhapure , Vineet Kumar Singh , Surveen Chawla , Siddhant Kapoor , Sandesh Jadhav , Anshikaa Shrivastava , Murari Kumar , Abir Goswami , Madhavi Singh , Manoj Khalatkar , Ajay Purkar , Girish Kulkarni , Jayant Gadekar ",Hindi
Dilwale Dulhania Le Jayenge,1995,8.0,Aditya Chopra (dir.)," Shah Rukh Khan, Kajol"," Shah Rukh Khan , Kajol , Amrish Puri , Farida Jalal , Anupam Kher , Parmeet Sethi , Mandira Bedi , Satish Shah , Himani Shivpuri , Pooja Ruparel , Achala Sachdev , Damyanti Puri , Lalit Tiwari , Hemlata Deepak , Mohit Kumar ",Hindi
Mother India,1957,8.0,Mehboob Khan (dir.)," Nargis, Sunil Dutt"," Nargis , Sunil Dutt , Rajendra Kumar , Raaj Kumar , Kanhaiyalal Chaturvedi , Jilloo Maa , Kumkum , Chanchal , Sheela Naik , Mukri , Siddiqui , Ram Shastri , Fakir Mohammad , Geeta , Hameeda ",Hindi
Gulaal,2009,8.0,Anurag Kashyap (dir.)," Kay Kay Menon, Raj Singh Chaudhary"," Kay Kay Menon , Raj Singh Chaudhary , Jesse Randhawa , Deepak Dobriyal , Ayesha Mohan , Mahie Gill , Piyush Mishra , Abhimanyu Singh , Aditya Srivastava , Mukesh Bhatt , Pankaj Jha , Savi Sidhu , Jyoti Dogra , Chittaranjan Giri , Neel Guha ",Hindi
Baahubali 2: The Conclusion,2017,8.0,S.S. Rajamouli (dir.)," Prabhas, Rana Daggubati"," Prabhas , Rana Daggubati , Anushka Shetty , Sathyaraj , Ramya Krishnan , Tamannaah Bhatia , Nassar , Subbaraju , Meka Rama Krishna , Tanikella Bharani , Sharad Kelkar , Aashish Maske , Ramakrishna Meka , Prabhakar , Venkat Prasad ",Telugu
Padosan,1968,8.0,Jyoti Swaroop (dir.)," Sunil Dutt, Saira Banu"," Sunil Dutt , Saira Banu , Mehmood , Kishore Kumar , Om Prakash , Agha , Mukri , Sunder , Ganga , Praveen Paul , Keshto Mukherjee , Raj Kishore , Dulari , Ratna , Moolchand ",Hindi
Haider,2014,7.9,Vishal Bhardwaj (dir.)," Shahid Kapoor, Tabu"," Tabu , Shahid Kapoor , Shraddha Kapoor , Kay Kay Menon , Narendra Jha , Kulbhushan Kharbanda , Lalit Parimoo , Ashish Vidyarthi , Aamir Bashir , Sumit Kaul , Rajat Bhagat , Ashwath Bhatt , Irrfan Khan , Anshuman Malhotra , Lankesh Bhardwaj ",Hindi
Indian,1996,7.9,S. Shankar (dir.)," Kamal Haasan, Sukanya"," Kamal Haasan , Sukanya , Manisha Koirala , Urmila Matondkar , Nedumudi Venu , Goundamani , Kasturi , Aruna Irani , Crazy Mohan , Aachi Manorama , Senthil , Ajay Ratnam , Nizhalgal Ravi , Bala Singh , Johnny Lever ",Tamil
Athadu,2005,7.9,Trivikram Srinivas (dir.)," Mahesh Babu, Trisha Krishnan"," Mahesh Babu , Trisha Krishnan , Prakash Raj , Sonu Sood , Srinivasa Rao Kota , Nassar , Giri Babu , Brahmanandam , Dharmavarapu Subramanyam , Ajay , Joy Badlani , Tanikella Bharani , Brahmaji , Rahul Dev , Vajja Venkata Giridhar ",Telugu
DevD,2009,7.9,Anurag Kashyap (dir.)," Abhay Deol, Mahie Gill"," Abhay Deol , Mahie Gill , Kalki Koechlin , Dibyendu Bhattacharya , Gurkirtan , Satwant Kaur , Parakh Madan , Kuldeep Sharma , Jimi the Quiff , Ammo 'Too Sweet' , Sanjay Kumar , Sinbad Phgura , Aseem Sharma , Shena Gamat , Helen Jones ",Hindi
Vedam,2010,7.9,Radha Krishna Jagarlamudi (dir.)," Manoj Kumar Manchu, Allu Arjun"," Manoj Kumar Manchu , Allu Arjun , Anushka Shetty , Manoj Bajpayee , Nagayya , Deeksha Seth , Lekha Washington , Brahmanandam , Siya , Satyam Rajesh , Ravi Prakash , Krishna Murali Posani , Pruthvi , Raghu Babu , Joy Badlani ",Telugu
Special Chabbis,2013,7.9,Neeraj Pandey (dir.)," Akshay Kumar, Anupam Kher"," Akshay Kumar , Anupam Kher , Manoj Bajpayee , Jimmy Sheirgill , Kajal Aggarwal , Divya Dutta , Kishore Kadam , Rajesh Sharma , Deep Raj Rana , Vipin Sharma , Sukhwinder Chahal , Abha Parmar , Mukesh Bhatt , Ujjwal Chopra , Tiku Talsania ",Hindi
Company,2002,7.9,Ram Gopal Varma (dir.)," Ajay Devgn, Mohanlal"," Ajay Devgn , Mohanlal , Manisha Koirala , Seema Biswas , Vivek Oberoi , Antara Mali , Akash Khurana , Madan Joshi , Bharat Dabholkar , Ganesh Yadav , Ashraf Ul Haq , Akshay Verma , Vijay Raaz , Mukesh Bhatt , Manoj Goyal ",Hindi
Vaastav: The Reality,1999,7.9,Mahesh Manjrekar (dir.)," Sanjay Dutt, Namrata Shirodkar"," Sanjay Dutt , Namrata Shirodkar , Mohnish Bahl , Ekta Sohini , Reema Lagoo , Shivaji Satam , Kashmira Shah , Deepak Tijori , Paresh Rawal , Mohan Joshi , Ashish Vidyarthi , Himani Shivpuri , Usha Nadkarni , Achyut Potdar , Kishore Nandlaskar ",Hindi
Badhaai Ho,2018,7.9,Amit Ravindernath Sharma (dir.)," Ayushmann Khurrana, Sanya Malhotra"," Ayushmann Khurrana , Sanya Malhotra , Neena Gupta , Gajraj Rao , Sheeba Chaddha , Surekha Sikri , Shardul Rana , Rahul Tewari , Arun Kalra , Alka Amin , Manoj Bakshi , Alka Badola Kaushal , Vimi Mehta ",Hindi
Bajrangi Bhaijaan,2015,7.9,Kabir Khan (dir.)," Salman Khan, Harshaali Malhotra"," Salman Khan , Harshaali Malhotra , Nawazuddin Siddiqui , Kareena Kapoor , Sharat Saxena , Alka Badola Kaushal , Om Puri , Meher Vij , Rajesh Sharma , Mir Sarwar , Khushaal Pawar , Krunal Pandit , Manoj Bakshi , Mursaleem Qureshi , Yudhvir Dahiya ",Hindi
Ship of Theseus,2012,7.9,Anand Gandhi (dir.)," Aida Elkashef, Yogesh Shah"," Aida Elkashef , Yogesh Shah , Faraz Khan , Hannan Youssef , Narendra Shah , Chitra Shah , Manan Shah , Aishwarya , Balaji Janardhan , Abbas K. , Bharat Pardesi , Pradeep Sinha , Akhtar Bhale , Sidharth Meer , Bonnie Chenevier ",English
 Manjhi: The Mountain Man,2015,7.9,Ketan Mehta (dir.)," Nawazuddin Siddiqui, Radhika Apte"," Nawazuddin Siddiqui , Radhika Apte , Ashutosh Acharya , Shahzad Ahmad , Aishwarya Arora , Suraj Bajjua , Vishwa Bhanu , Ravi Bhushan , Anil Chaudhary , Abhishek Chauhan , Samvedna Anish Choudhary , Tigmanshu Dhulia , Gaurav Dwivedi , Amar Gaikwad , Vijay Gupta ",Hindi
Ankhon Dekhi,2013,7.8,Rajat Kapoor (dir.)," Sanjay Mishra, Seema Bhargava"," Sanjay Mishra , Seema Bhargava , Rajat Kapoor , Taranjit Kaur , Maya Sarao , Chandrachoor Rai , Namit Das , Brijendra Kala , Alka Chatwal , Manu Rishi Chadha , Mahesh Sharma , Anil Chaudhary , Manish Karnatak , Dhruv Uday Singh , Saurabh Shukla ",Hindi
Pizza,2012,7.8,Karthik Subbaraj (dir.)," Vijay Sethupathi, Ramya Nambeeshan"," Vijay Sethupathi , Ramya Nambeeshan , Aadukalam Naren , Karunakaran , Jayakumar , Bobby Simha , Pooja Ramachandran , Veera Santhanam , Joy Badlani ",Tamil
Badla,2019,7.8,Sujoy Ghosh (dir.)," Amitabh Bachchan, Tapsee Pannu"," Amitabh Bachchan , Tapsee Pannu , Denzil Smith , Tony Luke , Amrita Singh , Begonia Villalba , Antonio Aakeel , Daniel O'Kane , Tanveer Ghani , Manav Kaul , Mark Mansfield , Shome Makhija , Vincent Woods , Ammar Taalwala , Jason Hetherington ",Hindi
Jab We Met,2007,7.8,Imtiaz Ali (dir.)," Shahid Kapoor, Kareena Kapoor"," Shahid Kapoor , Kareena Kapoor , Tarun Arora , Dara Singh , Pavan Malhotra , Kamal Tiwari , Kiran Juneja , Divya Shah , Saumya Tandon , Nihar Thakkar , Manushka Khisty , F.J. Jussawala , Vishal Om Prakash , Rohini Sahni , Deepak Sharma ",Hindi
Dor,2006,7.8,Nagesh Kukunoor (dir.)," Ayesha Takia, Shreyas Talpade"," Ayesha Takia , Shreyas Talpade , Gul Panag , Girish Karnad , Prateeksha Lonkar , Rushad Rana , Anirudh Jaykar , Shivani Joshi , Uttara Baokar , Pavan Singh , Banwarilal Taneja , Ikhlaq Khan , Veena Sajnani , Vibhu Kashyap , Dhruv Jagasiya ",Hindi
Padman,2018,7.8,R. Balki (dir.)," Akshay Kumar, Radhika Apte"," Akshay Kumar , Radhika Apte , Sonam Kapoor , Jyoti Subhash , Urmila Mahanta , Suneel Sinha , Sanjay Singh , 'Om' Rakesh Chaturvedi , Mrinmayee Godbole , Mridul Satam , Parul Chauhan , Saurabh Agarwal , Amitabh Bachchan , Varun Bag , Himika Bose ",Hindi
Kal Ho Naa Ho,2003,7.8,Nikkhil Advani (dir.)," Preity Zinta, Shah Rukh Khan"," Shah Rukh Khan , Preity Zinta , Saif Ali Khan , Jaya Bhaduri , Sushma Seth , Reema Lagoo , Lillete Dubey , Delnaaz Irani , Rani Mukerji , Sonali Bendre , Michael Pinkhas , Sanjay Kapoor , Sulabha Arya , Athit Naik , Princey Shukla ",Hindi
Airlift,2016,7.8,Raja Menon (dir.)," Akshay Kumar, Nimrat Kaur"," Akshay Kumar , Nimrat Kaur , Kumud Mishra , Prakash Belawadi , Inaamulhaq , Lena , Nissar Khan , Ninad Kamat , Kaizaad Kotwal , Feryna Wazheir , Ajay Kumar , Purab Kohli , Gunjan Malhotra , Pooja Nair , Taranjit Kaur ",Hindi
Hey Ram,2000,7.8,Kamal Haasan (dir.)," Kamal Haasan, Shah Rukh Khan"," Kamal Haasan , Shah Rukh Khan , Rani Mukerji , Hema Malini , Girish Karnad , Naseeruddin Shah , Om Puri , Vikram Gokhale , Saurabh Shukla , Nassar , Abbas , Atul Kulkarni , Showkar Janaki , Iravati Harshe , Vasundhara Das ",Tamil
Baby,2015,7.8,Neeraj Pandey (dir.)," Akshay Kumar, Danny Denzongpa"," Akshay Kumar , Danny Denzongpa , Rana Daggubati , Tapsee Pannu , Anupam Kher , Kay Kay Menon , Sushant Singh , Madhurima Tuli , Mikaal Zulfiqar , Hasan Noman , Rasheed Naz , Kerem Sarikaya , Zachary Coffin , Karan Aanand , Kiran Anand ",Hindi
Vaaranam Aayiram,2008,7.8,Gautham Menon (dir.)," Suriya, Simran"," Suriya , Simran , Ramya , Sameera Reddy , Prithviraj , Deepa Narendran , Karthik , Shanker Koladi , Ganesh , Sathish , Veera Bahu , Gautham Menon , Pawl Bazile , Brian Jennings , Rajeev ",Tamil
My Name Is Khan,2010,7.8,Karan Johar (dir.)," Shah Rukh Khan, Kajol"," Shah Rukh Khan , Kajol , Katie A. Keane , Kenton Duty , Benny Nieves , Christopher B. Duncan , Jimmy Sheirgill , Sonya Jehan , Parvin Dabas , Arjun Mathur , Sugandha Garg , Zarina Wahab , S.M. Zaheer , Arif Zakaria , Vinay Pathak ",Hindi
Rangasthalam,2018,7.8,Sukumar (dir.)," Ram Charan, Samantha Ruth Prabhu"," Ram Charan , Samantha Ruth Prabhu , Aadhi , Jagapathi Babu , Mahesh Achanta , Aditya , Anil , Annie , Appu , Fm Babai , Sathi Babu , Suri Babu , Banerjee , Basha , Anasuya Bharadwaj ",Telugu
KGF: Chapter 1,2018,7.8,Prashanth Neel (dir.)," Yash, Srinidhi Shetty"," Yash , Srinidhi Shetty , Ramachandra Raju , Archana Jois , Anant Nag , Vasishta N. Simha , Tamannaah Bhatia , Ajith , Akash , Anji , Anmol , Arun , Aryadev , Ninasam Ashwath , B.S. Avinash ",Kannada
Secret Superstar,2017,7.8,Advait Chandan (dir.)," Zaira Wasim, Meher Vij"," Zaira Wasim , Meher Vij , Raj Arjun , Aamir Khan , Tirth Sharma , Kabir Sajid , Farrukh Jaffar , Manuj Sharma , Nikita Anand , Shaan , Monali Thakur , Mona Ambegaonkar ",Hindi
Lakshya,2004,7.8,Farhan Akhtar (dir.)," Amitabh Bachchan, Hrithik Roshan"," Amitabh Bachchan , Hrithik Roshan , Preity Zinta , Om Puri , Sharad S. Kapoor , Raj Zutshi , Sushant Singh , Prashant Chianani , Shakeel Khan , Ranvir Shorey , Arav Chowdharry , Ajai Jose , Aditya Srivastava , Abir Goswami , Parmeet Sethi ",Hindi
Bahubali: The Beginning,2015,7.8,S.S. Rajamouli (dir.)," Prabhas, Rana Daggubati"," Prabhas , Rana Daggubati , Ramya Krishnan , Sathyaraj , Anushka Shetty , Tamannaah Bhatia , Nassar , Sudeep , Prabhakar , Rajsekhar Aningi , Gabriela Bertante , Bhanu Sri , Tanikella Bharani , Nora Fatehi , Sri Simha Koduri ",Telugu
Border,1997,7.8,J.P. Dutta (dir.)," Sunny Deol, Jackie Shroff"," Sunny Deol , Jackie Shroff , Sunil Shetty , Akshaye Khanna , Sudesh Berry , Puneet Issar , Kulbhushan Kharbanda , Tabu , Rakhee Gulzar , Pooja Bhatt , Sharbani Mukherji , Sapna Bedi , Amrit Pal , Mahabir Bhullar , Sanjeeva ",Hindi
Ab Tak Chhappan,2004,7.8,Shimit Amin (dir.)," Nana Patekar, Revathy"," Nana Patekar , Revathy , Yashpal Sharma , Mohan Agashe , Nakul Vaid , Jeeva , Kunal Vijaykar , Pravin Patel , Prasad Purandhare , Hrishitaa Bhatt , Neha Bam , Dibyendu Bhattacharya , Megan Cocks , Helen , Anant Jog ",Hindi
Vettaiyaadu Vilaiyaadu,2006,7.8,Gautham Menon (dir.)," Kamal Haasan, Jyothika"," Kamal Haasan , Jyothika , Prakash Raj , Daniel Balaji , Saleem Baig , Kamalinee Mukherjee , Rajashri , Lev Gorn , Yog Japee , Ajay Naidu , Aahuthi Prasad , Karma , Stun Shiva , Ganesh , Tirlok Malik ",Tamil
Gangaajal,2003,7.8,Prakash Jha (dir.)," Ajay Devgn, Gracy Singh"," Ajay Devgn , Gracy Singh , Mohan Joshi , Yashpal Sharma , Akhilendra Mishra , Mukesh Tiwari , Ayub Khan , Chetan Pandit , Anup Soni , Mohan Agashe , Yash Pathak , Payal Srivastava , Manyata Dutt , Daya Shankar Pandey , Manoj Rajdutt ",Hindi
Johnny Gaddaar,2007,7.8,Sriram Raghavan (dir.)," Dharmendra, Rimi Sen"," Dharmendra , Rimi Sen , Ashwini Kalsekar , Neil Nitin Mukesh , Vinay Pathak , Zakir Hussain , Dayanand Shetty , Govind Namdeo , Rasika Joshi , Shankar Sachdev , Priyanka Bose , Farah , Radhika , Neeraj Khetrapal , Sonia Rakkar ",Hindi
Manam,2014,7.8,Vikram K. Kumar (dir.)," Akkineni Nageshwara Rao, Nagarjuna Akkineni"," Akkineni Nageshwara Rao , Nagarjuna Akkineni , Naga Chaitanya Akkineni , Samantha Ruth Prabhu , Shriya Saran , Amitabh Bachchan , Brahmanandam , M.S. Narayana , Akhil Akkineni , Ali , Jayaprakash Reddy , Krishna Murali Posani , Amala Akkineni , Srinivasa Reddy , Raashi Khanna ",Telugu
English Vinglish,2012,7.8,Gauri Shinde (dir.)," Sridevi, Adil Hussain"," Sridevi , Adil Hussain , Mehdi Nebbou , Priya Anand , Sulabha Deshpande , Michael Patrick Hoban , Sujatha Kumar , Navika Kotia , Shivansh Kotia , Cory Hibbs , Rajeev Ravindranathan , Maria Romano , Sumeet Vyas , Ruth Aguilar , Ross Nathan ",Hindi
Okkadu,2003,7.7,Gunasekhar (dir.)," Mahesh Babu, Bhoomika Chawla"," Mahesh Babu , Bhoomika Chawla , Prakash Raj , Joy Badlani , Chandramohan , Rajan P. Dev , Geetha , Baby Niharika , Venkateswara Rao Paruchuri , Mukesh Rishi , Telangana Sakuntala , Dharmavarapu Subramanyam ",Telugu
Ulidavaru Kandanthe,2014,7.7,Rakshit Shetty (dir.)," Kishore Kumar G., Rakshit Shetty"," Kishore Kumar G. , Rakshit Shetty , Thara , Achyuth Kumar , Rishab Shetty , Sheetal Shetty , Yagna Shetty , Dinesh Mangaluru , Raghu Pandeshwar , B. Suresha , Pramod Shetty , Kavya Hande , Sohan Shetty , K.P. Hegde , Raghavendra P. Hegde ",Kannada
Dabba,2013,7.7,Ritesh Batra (dir.)," Irrfan Khan, Nimrat Kaur"," Irrfan Khan , Nimrat Kaur , Nawazuddin Siddiqui , Lillete Dubey , Nakul Vaid , Bharti Achrekar , Yashvi Puneet Nagar , Denzil Smith , Shruti Bapna , Nasirr Khan , Lokesh Raj , Sadashiv Kondaji Pokarkar , Aarti Rathod , Krishna Bai , Raj Rishi More ",Hindi
Rock On!!,2008,7.7,Abhishek Kapoor (dir.)," Arjun Rampal, Farhan Akhtar"," Arjun Rampal , Farhan Akhtar , Luke Kenny , Purab Kohli , Prachi Desai , Shahana Goswami , Koel Purie , Nicolette Bird , Sai Gundewar , Supreet Bedi , Vinod Bere , Randolph Correia , Lindsay D'Mello , Suzanne D'Mello , Terence D'Souza ",Hindi
Don,1978,7.7,Chandra Barot (dir.)," Amitabh Bachchan, Zeenat Aman"," Amitabh Bachchan , Zeenat Aman , Pran , Iftekhar , Om Shivpuri , Satyendra Kapoor , Paidi Jairaj , Kamal Kapoor , Arpana Choudhary , Helen , M.B. Shetty , Mac Mohan , Azad , Yashraj , Devaraj ",Hindi
Mr India,1987,7.7,Shekhar Kapur (dir.)," Anil Kapoor, Sridevi"," Anil Kapoor , Sridevi , Amrish Puri , Satish Kaushik , Annu Kapoor , Ajit Vachani , Sharat Saxena , Ashok Kumar , Bob Christo , Ramesh Deo , Karan Nath , Yunus Parvez , Harish Patel , Venus Pujari , Tapan Shah ",Hindi
Udta Punjab,2016,7.7,Abhishek Chaubey (dir.)," Shahid Kapoor, Alia Bhatt"," Shahid Kapoor , Alia Bhatt , Kareena Kapoor , Diljit Dosanjh , Satish Kaushik , Manav Vij , Vansh Bhardwaj , Suhail Nayyar , Prabhjyot Singh , Rajesh Kumar Sharma , Kamal Tiwari , Mahabir Bhullar , Suvinder Vicky , Dilawar Sidhu , Lovely Sidhu ",Hindi
Nayak: The Real Hero,2001,7.7,S. Shankar (dir.)," Anil Kapoor, Rani Mukerji"," Anil Kapoor , Rani Mukerji , Amrish Puri , Johnny Lever , Pooja Batra , Sushmita Sen , Mukesh Ahuja , Babu Antony , Rana Jung Bahadur , Neha Bam , Ravindra Berde , Ekta Jain , Kanal Kannan , Khyati Keshwani , Razak Khan ",Hindi
