movie,year,rating,director,starCast,crew,language
Hindi Medium,2017,7.7,Saket Chaudhary (dir.)," Irrfan Khan, Saba Qamar"," Irrfan Khan , Saba Qamar , Dishita Sehgal , Deepak Dobriyal , Swati Das , Amrita Singh , Sumit Gulati , Angshuman Nandi , Neha Dhupia , Sahani , Arha Mahajan , Shiva Kumar , Sachin Kumar , Kiran Khoje , Pammi Khanna ",Hindi
Dasvidaniya,2008,7.7,Shashant Shah (dir.)," Vinay Pathak, Sarita Joshi"," Vinay Pathak , Sarita Joshi , Rajat Kapoor , Saurabh Shukla , Neha Dhupia , Joy Fernandes , Manoylo Svitlana , Gaurav Gera , Suchitra Pillai , Purbi Joshi , Brijendra Kala , Ikhlaq Khan , Sachin Khurana , Chandan Bisht , Kishore Nandlaskar ",Hindi
Vicky Donor,2012,7.7,Shoojit Sircar (dir.)," Ayushmann Khurrana, Yami Gautam"," Ayushmann Khurrana , Yami Gautam , Annu Kapoor , Dolly Ahluwalia , John Abraham , Tarun Bali , Krishna Singh Bisht , Jayanta Das , Swaroopa Ghosh , Kamlesh Gill , Puja Gupta , Bhupesh Pandya , Inder Pal Singh ",Hindi
Raazi,2018,7.7,Meghna Gulzar (dir.)," Alia Bhatt, Vicky Kaushal"," Alia Bhatt , Vicky Kaushal , Rajit Kapoor , Shishir Sharma , Ashwath Bhatt , Jaideep Ahlawat , Arif Zakaria , Amruta Khanvilkar , Kanwaljit Singh , Aman Vasishth , Veer Samra , Saloni , Deepak Saini , Sima Pari , Pramod Pathak ",Hindi
Oye Lucky! Lucky Oye!,2008,7.7,Dibakar Banerjee (dir.)," Abhay Deol, Paresh Rawal"," Abhay Deol , Paresh Rawal , Neetu Chandra , Archana Puran Singh , Manu Rishi Chadha , Richa Chadha , Manjot Singh , Anurag Arora , Amandeep Singh Bakshi , Rajendra Sethi , Rajeev Ailabadi , Nutan Surya , Gurmeet Singh , Ramandeep , Nanki Singh ",Hindi
Mumbai Meri Jaan,2008,7.7,Nishikant Kamat (dir.)," Paresh Rawal, Kay Kay Menon"," Paresh Rawal , Kay Kay Menon , Irrfan Khan , Madhavan , Soha Ali Khan , Sachin Pathak , Santosh Juvekar , Kavin Dave , Syed Rizwan Ahmed , Rajesh Bhosle , Saksham Dayma , Aakash , Jeetendra Rai , Sameer Dharmadhikari , Gaurav Dhir ",Hindi
Guru,2007,7.7,Mani Ratnam (dir.)," Mithun Chakraborty, Abhishek Bachchan"," Mithun Chakraborty , Abhishek Bachchan , Aishwarya Rai Bachchan , Madhavan , Vidya Balan , Roshan Seth , Anaushka Dantra , Mallika Sherawat , Sunil Agarwal , Murad Ali , Ashoi , Arya Babbar , Arjan Bajwa , Mukesh Bhatt , Dhritiman Chatterjee ",Hindi
Samsara,2001,7.7,Pan Nalin (dir.)," Shawn Ku, Christy Chung"," Shawn Ku , Christy Chung , Neelesha Barthel , Lhakpa Tsering , Tenzin Tashi , Jamayang Jinpa , Sherab Sangey , Kelsang Tashi , Tsepak Tsangpo , Norbu Dolma , Sonam Gyatso , Jampa Kalsang Tamang ",Tibetan
Pokiri,2006,7.7,Puri Jagannadh (dir.)," Mahesh Babu, Ileana D'Cruz"," Mahesh Babu , Ileana D'Cruz , Prakash Raj , Nassar , Ashish Vidyarthi , Sayaji Shinde , Brahmanandam , Ali , Venu Madhav , Mumait Khan , Sudha , Ajay , Ganesh Babu , Master Bharath , Isai ",Telugu
Veer-Zaara,2004,7.7,Yash Chopra (dir.)," Shah Rukh Khan, Preity Zinta"," Shah Rukh Khan , Rani Mukerji , Preity Zinta , Kiron Kher , Divya Dutta , Boman Irani , Anupam Kher , Amitabh Bachchan , Hema Malini , Manoj Bajpayee , Zohra Sehgal , S.M. Zaheer , Tom Alter , Akhilendra Mishra , Arun Bali ",Hindi
Charlie,2015,7.6,Martin Prakkat (dir.)," Dulquer Salmaan, Parvathy"," Dulquer Salmaan , Parvathy , Aparna Gopinath , Nedumudi Venu , Tovino Thomas , Seetha , Soubin Shahir , K.P.A.C. Lalitha , Chemban Vinod Jose , Kalpana , P. Balachandran , Shereej K. Basheer , Molly Kannamaly , Neeraj Madhav , Joy Mathew ",Malayalam
Earth,1998,7.6,Deepa Mehta (dir.)," Aamir Khan, Nandita Das"," Aamir Khan , Nandita Das , Rahul Khanna , Maia Sethna , Babby Singh , Kitu Gidwani , Raghuvir Yadav , Kabir Chowdhury , Arif Zakaria , Eric Peterson , Gulshan Grover , Lauren Walker , Cinia Jain , Navtej Singh Johar , Pavan Malhotra ",Hindi
Aamir,2008,7.6,Raj Kumar Gupta (dir.)," Rajeev Khandelwal, Aishwarya"," Rajeev Khandelwal , Aishwarya , Vasan Bala , Chinkal , Shashanka Ghosh , Rohitashv Gour , Jhilmil Hazrika , Junaid , Amar Kaushik , Abhas Khan , Allauddin Khan , Prasoon Narayan , Gajraj Rao , Sneha ",Hindi
Kapoor & Sons,2016,7.6,Shakun Batra (dir.)," Sidharth Malhotra, Fawad Khan"," Sidharth Malhotra , Fawad Khan , Alia Bhatt , Rajat Kapoor , Rishi Kapoor , Anahita Oberoi , Vikram Kapadia , Pradeep Pradhan , Fahim Shaikh , Niti Apurva Patel , Aalekh Kapoor , Sukant Goel , Ratna Pathak Shah , Aditya Gunavanthe , Rahul Arjun Adsul ",Hindi
Agneepath,1990,7.6,Mukul Anand (dir.)," Amitabh Bachchan, Mithun Chakraborty"," Amitabh Bachchan , Mithun Chakraborty , Madhavi , Neelam Kothari , Danny Denzongpa , Alok Nath , Rohini Hattangadi , Tinnu Anand , Vikram Gokhale , Archana Puran Singh , Master Manjunath , Sharat Saxena , Goga Kapoor , Monty Sharma , Avtar Gill ",Hindi
Newton,2017,7.6,Amit Masurkar (dir.)," Rajkummar Rao, Pankaj Tripathi"," Rajkummar Rao , Pankaj Tripathi , Anjali Patil , Raghuvir Yadav , Ishar Ahmed , Nahida Ali , Nisar Ali , Nizam Ali , Vinod B. , Jangli Bai , Ragho Bai , Vaijanti Bai , Sulekha Begum , Krishna Singh Bisht , Sunil Ramkrishna Borkar ",Hindi
RangiTaranga,2015,7.6,Anup Bhandari (dir.)," Nirup Bhandari, Radhika Chetan"," Nirup Bhandari , Radhika Chetan , Avantika Shetty , Sai Kumar , Anantha Velu , Aravind Rao , Siddu Moolimani , Karthik Rao Kordale , Shankar Ashwath , Srinath Vasista , Chethan Raj , Roshni Kore , Swapna Raj , Renuka , Shilpa Singh ",Kannada
Eega,2012,7.6,S.S. Rajamouli (dir.)," Sudeep, Nani"," Sudeep , Nani , Samantha Ruth Prabhu , Hamsa Nandini , Crazy Mohan , Santhanam , Adithya Menon , Chandra Sekhar , Srinivasa Reddy , Sivannarayana , Devadarshini Chetan , Noel , Dhanraj , Thagubothu Ramesh , Venkatesh Chakravarthy ",Telugu
Pyaar Ka Punchnama,2011,7.6,Luv Ranjan (dir.)," Kartik Aaryan, Raayo S. Bakhirta"," Kartik Aaryan , Raayo S. Bakhirta , Divyendu Sharma , Nushrat Bharucha , Sonnalli Seygall , Ishita Raj , Ranjit Batra , Padam Bhola , Karthik Chauhan ",Hindi
Neerja,2016,7.6,Ram Madhvani (dir.)," Sonam Kapoor, Shabana Azmi"," Sonam Kapoor , Shabana Azmi , Yogendra Tiku , Abrar Zahoor , Jim Sarbh , Ali Baldiwala , Vikrant Singta , Kirti Adarkar , Parthaa Akerkar , Hayder Ali , Arjun Aneja , Yugesh Anil , Bobby Arora , Rohit Assija , Sabreen Baker ",Hindi
Manorama Six Feet Under,2007,7.6,Navdeep Singh (dir.)," Abhay Deol, Gul Panag"," Abhay Deol , Gul Panag , Raima Sen , Sarika , Kulbhushan Kharbanda , Vinay Pathak , Poonam Gibson , Yana Gupta , Brijendra Kala , Jogi Mallang , Nawazuddin Siddiqui ",Hindi
Madras Cafe,2013,7.6,Shoojit Sircar (dir.)," John Abraham, Nargis Fakhri"," John Abraham , Nargis Fakhri , Raashi Khanna , Prakash Belawadi , Vishnu Govindhan , Leena Maria Paul , Avijit Dutt , Aayam Mehta , Kannan Arunachalam , Sanjay Gurbaxani , Dinesh Nair , Vinod Kumar , Dibang , Steve Fahl , Siddartha Basu ",Hindi
Sarkar,2005,7.6,Ram Gopal Varma (dir.)," Amitabh Bachchan, Abhishek Bachchan"," Amitabh Bachchan , Abhishek Bachchan , Kay Kay Menon , Supriya Pathak , Katrina Kaif , Tanishaa Mukerji , Rukhsar Rehman , Anupam Kher , Srinivasa Rao Kota , Deepak Shirke , Ishrat Ali , Zakir Hussain , Ravi Kale , Raju Mavani , Jeeva ",Hindi
Sanju,2018,7.6,Rajkumar Hirani (dir.)," Ranbir Kapoor, Paresh Rawal"," Ranbir Kapoor , Paresh Rawal , Manisha Koirala , Vicky Kaushal , Dia Mirza , Anushka Sharma , Sonam Kapoor , Jim Sarbh , Karishma Tanna , Boman Irani , Ashnoor Kaur , Siya , Tabu , Sayaji Shinde , Steven Allen Prince ",Hindi
Kabhi Haan Kabhi Naa,1994,7.6,Kundan Shah (dir.)," Shah Rukh Khan, Suchitra Krishnamoorthi"," Shah Rukh Khan , Suchitra Krishnamoorthi , Deepak Tijori , Rita Bhaduri , Satish Shah , Anjan Srivastav , Goga Kapoor , Tiku Talsania , Ravi Baswani , Naseeruddin Shah , Juhi Chawla , Kurush Deboo , Aditya Lakhia , Shashi Sahay , Jyothi Nathani ",Hindi
Darr,1993,7.6,Yash Chopra (dir.)," Juhi Chawla, Sunny Deol"," Juhi Chawla , Sunny Deol , Shah Rukh Khan , Anupam Kher , Tanvi Azmi , Raj Hans , Annu Kapoor , Neena Softa , Piloo J. Wadia , Vikas Anand , Dalip Tahil ",Hindi
Stree,2018,7.6,Amar Kaushik (dir.)," Rajkummar Rao, Shraddha Kapoor"," Rajkummar Rao , Shraddha Kapoor , Pankaj Tripathi , Aparshakti Khurana , Abhishek Banerjee , Atul Srivastava , Vijay Raaz , Aakash Dabhade , Nora Fatehi , Kriti Sanon , Flora Saini , Joy Badlani , Viren Basoya , Badri Chavan , Mushtaq Khan ",Hindi
Bheja Fry,2007,7.6,Sagar Ballary (dir.)," Vinay Pathak, Rajat Kapoor"," Vinay Pathak , Rajat Kapoor , Sarika , Milind Soman , Ranvir Shorey , Bhairavi Goswami , Tom Alter , Harsh Chhaya , Sharat Katariya , Sushma Kaul , Ikhlaq Khan ",Hindi
Goodachari,2018,7.6,Sashi Kiran Tikka (dir.)," Adivi Sesh, Sobhita Dhulipala"," Adivi Sesh , Sobhita Dhulipala , Jagapathi Babu , Prakash Raj , Irfan , Ademi , Neelsh Ahankari , Ali , Ashok , Adarsh Babu , Harshad Babu , Harika Devi Balla , Tanikella Bhargav , Ramana Bhargava , Rohit Chachu ",Telugu
Tanu Weds Manu Returns,2015,7.5,Aanand L. Rai (dir.)," Kangana Ranaut, Madhavan"," Kangana Ranaut , Madhavan , Jimmy Sheirgill , Mohammed Zeeshan Ayyub , Swara Bhaskar , Rajesh Sharma , Deepak Dobriyal , Manu Rishi Chadha , Raj Awasti , Gaurav Mishra , Eijaz Khan , Aakash Dahiya , Alex Jaep , Rahul Chahan ",Hindi
Rockstar,2011,7.5,Imtiaz Ali (dir.)," Ranbir Kapoor, Nargis Fakhri"," Ranbir Kapoor , Nargis Fakhri , Shammi Kapoor , Kumud Mishra , Piyush Mishra , Shernaz Patel , Aditi Rao Hydari , Sanjana Sanghi , Shikha Jain , Jaideep Ahlawat , Moufid Aziz , Geetika Budhiraja , Aakash Dahiya , Sushil Dahiya , Teddy Maurya ",Hindi
24,2016,7.5,Vikram K. Kumar (dir.)," Suriya, Samantha Ruth Prabhu"," Suriya , Samantha Ruth Prabhu , Nithya Menon , Saranya Ponvannan , Ajay , Girish Karnad , Sathyan , Mohan Ram , Charlie , Appukutty , Sudha , Natarajan Balkrishna , Caroline Koziol , Advaith Ramkumar , Harsha Vardhan ",Tamil
Kai po che!,2013,7.5,Abhishek Kapoor (dir.)," Amit Sadh, Sushant Singh Rajput"," Rajkummar Rao , Sushant Singh Rajput , Amit Sadh , Amrita Puri , Digvijay Deshmukh , Asif Basra , Manav Kaul , Ashish Kakkad , Muni Jha , Morli Patel , Amitabh Srivastava , Bina Shah , Irfan Khan ",Hindi
Kuch Kuch Hota Hai,1998,7.5,Karan Johar (dir.)," Shah Rukh Khan, Kajol"," Shah Rukh Khan , Kajol , Rani Mukerji , Sana Saeed , Reema Lagoo , Farida Jalal , Archana Puran Singh , Himani Shivpuri , Johnny Lever , Anupam Kher , Parzaan Dastur , Salman Khan , Geeta Kapoor , Farah Khan ",Hindi
Highway,2014,7.5,Imtiaz Ali (dir.)," Alia Bhatt, Randeep Hooda"," Alia Bhatt , Randeep Hooda , Durgesh Kumar , Pradeep Nagar , Saharsh Kumar Shukla , Hemant Mathur , Shakeel Khan , Mohit Choudhary , Reuben Israel , Arjun Malhotra , Naina Trivedi , Mohd. Kaif , Samar Mudasir Bakshi , Pinu Verma , Misha Bhalla ",Hindi
Magadheera,2009,7.5,S.S. Rajamouli (dir.)," Ram Charan, Kajal Aggarwal"," Ram Charan , Kajal Aggarwal , Dev Gill , Srihari , Sarath Babu , Suneel , Brahmanandam , Surya , Hema , Rao Ramesh , Subbaraya Sarma , Chiranjeevi , Mumait Khan , Noel Sean , Chandra Sekhar ",Telugu
Baazigar,1993,7.5,Abbas Alibhai Burmawalla (dir.)," Shah Rukh Khan, Kajol"," Shah Rukh Khan , Kajol , Dalip Tahil , Rakhee Gulzar , Shilpa Shetty Kundra , Siddharth , Johnny Lever , Ananth Narayan Mahadevan , Daboo Malik , Dinesh Hingoo , Adi Irani , Resham Tipnis , Amrit Patel , Sumeet Pathak , Manmauji ",Hindi
Ek Hasina Thi,2004,7.5,Sriram Raghavan (dir.)," Saif Ali Khan, Urmila Matondkar"," Saif Ali Khan , Urmila Matondkar , Seema Biswas , Aditya Srivastava , Pratima Kazmi , Madan Joshi , Zakir Hussain , Abhay Bhargav , Rasika Oak , Seema Adhikari , Gopal K. Singh , Sheeba Chaddha , Rasika Joshi , Kavita Kaushik , Gulfam Khan ",Hindi
Saala Khadoos,2016,7.5,Sudha Kongara (dir.)," Madhavan, Nassar"," Madhavan , Ritika Singh , Mumtaz Sorcar , Nassar , Radha Ravi , Zakir Hussain , Kaali Venkat , Baljinder Kaur , Bipin , Olympic Devarajan , Zakir Hussain , M.K. Raina , Ashiqa Salvan , Raj Sharma , Ravindra Vijay ",Hindi
MS Dhoni: The Untold Story,2016,7.5,Neeraj Pandey (dir.)," Sushant Singh Rajput, Kiara Advani"," Sushant Singh Rajput , Kiara Advani , Anupam Kher , Disha Patani , Bhoomika Chawla , Sanjay Dadich , Kali Prasad Mukherjee , Zeeshaan , Mithu Chakraborty , Kranti Prakash Jha , Ashrut Jain , Brijendra Kala , Mukesh Bhatt , Jitin Gulati , Sahil Gyan ",Hindi
Wake Up Sid,2009,7.5,Ayan Mukherjee (dir.)," Ranbir Kapoor, Konkona Sen Sharma"," Ranbir Kapoor , Konkona Sen Sharma , Supriya Pathak , Anupam Kher , Rahul Khanna , Kashmira Shah , Namit Das , Shikha Talsania , Shruti Bapna , Krutika Bolaki , Mohsin Ali Khan , Munir Kabani , Atisha Naik , Rahul Pendkalkar , Kainaz Motivala ",Hindi
Jodhaa Akbar,2008,7.5,Ashutosh Gowariker (dir.)," Hrithik Roshan, Aishwarya Rai Bachchan"," Hrithik Roshan , Aishwarya Rai Bachchan , Sonu Sood , Poonam Sinha , Suhasini Mulay , Ila Arun , Raza Murad , Kulbhushan Kharbanda , Surendra Pal , Rajesh Vivek , Pramod Moutho , Vishwa Mohan Badola , Manava Naik , Disha Vakani , Dilnaz Irani ",Hindi
Parmanu: The Story of Pokhran,2018,7.5,Abhishek Sharma (dir.)," John Abraham, Boman Irani"," John Abraham , Boman Irani , Diana Penty , Anuja Sathe , Vikas Kumar , Yogendra Tiku , Aditya Hitkari , Ajay Shankar , Darshan Pandya , Mark Bennington , Shyam Bhagat , Zachary Coffin , Satinder Singh Gahlot , Tan Raj Ghale , Rohan Khatri ",Hindi
Dil Se,1998,7.5,Mani Ratnam (dir.)," Shah Rukh Khan, Manisha Koirala"," Shah Rukh Khan , Manisha Koirala , Preity Zinta , Raghuvir Yadav , Sabyasachi Chakraborty , Piyush Mishra , Krishnakant , Aditya Srivastava , Ken Philip , Sanjay Mishra , Mita Vasisht , Arundhati Rao , Malaika Arora , Gautam Bora , Manjit Bawa ",Hindi
Kaththi,2014,7.5,A.R. Murugadoss (dir.)," Joseph Vijay, Samantha Ruth Prabhu"," Joseph Vijay , Samantha Ruth Prabhu , Neil Nitin Mukesh , Tota Roy Chowdhury , Sathish , Rupesh Gupta , Veera Santhanam , Tamiko Brownlee , Elisabeth P. Carpenter , A.R. Murugadoss , Venkat Mohan , Sudip Mukherjee ",Tamil
Piku,2015,7.5,Shoojit Sircar (dir.)," Deepika Padukone, Amitabh Bachchan"," Deepika Padukone , Amitabh Bachchan , Irrfan Khan , Moushumi Chatterjee , Raghuvir Yadav , Jishu Sengupta , Balendar Singh , Swaroopa Ghosh , Sajal Bhattacharya , Rupsa Banerjee , Nutan Mathur , Prerna Chawla , Aniruddha Roy Chowdhury , Bishwadeep Chatterjee , Avijit Dutt ",Hindi
Devdas,2002,7.5,Sanjay Leela Bhansali (dir.)," Shah Rukh Khan, Aishwarya Rai Bachchan"," Shah Rukh Khan , Aishwarya Rai Bachchan , Madhuri Dixit , Jackie Shroff , Kiron Kher , Smita Jaykar , Tiku Talsania , Vijayendra Ghatge , Milind Gunaji , Ananya Khare , Manoj Joshi , Ava Mukherjee , Dina Pathak , Vijay Crishna , Muni Jha ",Hindi
Thuppakki,2012,7.5,A.R. Murugadoss (dir.)," Joseph Vijay, Kajal Aggarwal"," Joseph Vijay , Kajal Aggarwal , Vidyut Jammwal , Sathyan , Zakir Hussain , Deepthi Nambiar , Sanjana Sarathy , Steven Clarke , A.R. Murugadoss , Santosh Sivan , MD Asif , Joy Badlani , Akshara Gowda , Jayaram , Sumesh Krishnan ",Tamil
Delhi Belly,2011,7.5,Abhinay Deo (dir.)," Imran Khan, Vir Das"," Imran Khan , Vir Das , Kunaal Roy Kapur , Shenaz Treasury , Poorna Jagannathan , Kim Bodnia , Paresh Ganatra , Vijay Raaz , Satindir Anand , Ashraf-Ul-Haque , Dipti Avlani , Manoj Bakshi , Krishna Bansal , Dhaval Barbhaya , Bugs Bhargava ",English
Aankhen,2002,7.5,Vipul Amrutlal Shah (dir.)," Amitabh Bachchan, Akshay Kumar"," Amitabh Bachchan , Akshay Kumar , Sushmita Sen , Arjun Rampal , Paresh Rawal , Aditya Pancholi , Bipasha Basu , Kashmira Shah , Ajit Vachani , Arun Bali , Daya Shankar Pandey , Paresh Ganatra , Depesh Shah , Malvika Singh , Ashok Banthia ",Hindi
Detective Byomkesh Bakshy!,2015,7.5,Dibakar Banerjee (dir.)," Sushant Singh Rajput, Anand Tiwari"," Sushant Singh Rajput , Anand Tiwari , Neeraj Kabi , Divya Menon , Swastika Mukherjee , Meiyang Chang , Mark Bennington , Takanori Higuchi , Shivam , Kaushik Ghosh , Anindya Pulak Banerjee , Arindol Bagchi , Peter Wong , Pradipto Kumar Chakraborty , Manoshi Nath ",Hindi
1 - Nenokkadine,2014,7.5,Sukumar (dir.)," Mahesh Babu, Kriti Sanon"," Mahesh Babu , Kriti Sanon , Nassar , Pradeep Singh Rawat , Anu Hassan , Kelly Dorji , Sayaji Shinde , Krishna Murali Posani , Srinivasa Reddy , Ravi Verma , Anand , Supreeth Reddy , Sophiya Chaudhary , Gautham Ghattamaneni , Hayley Joanne Bacon ",Telugu
Raanjhanaa,2013,7.5,Aanand L. Rai (dir.)," Dhanush, Sonam Kapoor"," Dhanush , Sonam Kapoor , Mohammed Zeeshan Ayyub , Swara Bhaskar , Abhay Deol , Shilpi Marwaha , Suraj Singh , Kumud Mishra , Deepika Amin , Nisha Jindal , Vipin Sharma , Naman Jain , Arvind Gaur , Sujata Kumar , Ishwak Singh ",Hindi
Qayamat Se Qayamat Tak,1988,7.5,Mansoor Khan (dir.)," Aamir Khan, Juhi Chawla"," Aamir Khan , Juhi Chawla , Goga Kapoor , Dalip Tahil , Ravindra Kapoor , Asha Sharma , Alok Nath , Raj Zutshi , Shehnaz Kudia , Charushila , Beena Banerjee , Reema Lagoo , Nandita Thakur , Ahmed Khan , Arjun ",Hindi
Trapped,2016,7.5,Vikramaditya Motwane (dir.)," Rajkummar Rao, Geetanjali Thapa"," Rajkummar Rao , Geetanjali Thapa , Shiladitya Sen , Rahul Patel , Rahul Dutta , Vishwas , Girish , Malay Garg , Rajiv Khanna , Yogendra Vikram Singh , Patrick Graham , Hardik Mehta , Vivek Soni , Anup Rupanwar , R.N. Shukla ",Hindi
Rocket Singh: Salesman of the Year,2009,7.5,Shimit Amin (dir.)," Ranbir Kapoor, Prem Chopra"," Ranbir Kapoor , Prem Chopra , Mukesh Bhatt , D. Santosh , Naveen Kaushik , Gauhar Khan , Manish Chaudhary , Shazahn Padamsee , Imtiaz Ahamed , Kumar Amit , Lakshya Raj Anand , Saumya Sankar Chakraborty , Amar Choudhary , Kayaan Contractor , Suumeet Darshan ",Hindi
Khakee,2004,7.4,Rajkumar Santoshi (dir.)," Amitabh Bachchan, Akshay Kumar"," Amitabh Bachchan , Akshay Kumar , Ajay Devgn , Aishwarya Rai Bachchan , Tusshar Kapoor , Atul Kulkarni , Jaya Prada , Lara Dutta , Prakash Raj , Sabyasachi Chakraborty , Tanuja , Ashwini Kalsekar , Radhika Menon , D. Santosh , Kamlesh Sawant ",Hindi
The Ghazi Attack,2017,7.4,Sankalp Reddy (dir.)," Rana Daggubati, Kay Kay Menon"," Rana Daggubati , Kay Kay Menon , Atul Kulkarni , Om Puri , Nassar , Rahul Singh , Milind Gunaji , Tapsee Pannu , Amitabh Bachchan , Chiranjeevi , Ramanuj Dubey , Rajiv Kachroo , Satyadev Kancharana , Bikramjeet Kanwarpal , Kunal Kaushik ",Hindi
Amar Akbar Anthony,1977,7.4,Manmohan Desai (dir.)," Vinod Khanna, Rishi Kapoor"," Vinod Khanna , Rishi Kapoor , Amitabh Bachchan , Neetu Singh , Parveen Babi , Shabana Azmi , Nirupa Roy , Pran , Jeevan , Yusuf Khan , Mukri , Nasir Hussain , Kamal Kapoor , Hercules , Shivraj ",Hindi
Hungama,2003,7.4,Priyadarshan (dir.)," Akshaye Khanna, Aftab Shivdasani"," Akshaye Khanna , Aftab Shivdasani , Rimi Sen , Paresh Rawal , Shakti Kapoor , Rajpal Yadav , Tiku Talsania , Shoma Anand , Nina Kulkarni , Upasna Singh , Sanjay Narvekar , Jyoti Joshi , Amit Divatia , Amin Gazi , Jagadish ",Hindi
Rehnaa Hai Terre Dil Mein,2001,7.4,Gautham Menon (dir.)," Madhavan, Saif Ali Khan"," Madhavan , Saif Ali Khan , Dia Mirza , Vrajesh Hirjee , Tanaaz Currim Irani , Anupam Kher , Navin Nischol , Smita Jaykar , Hemant Pandey , Kabir Sadana , Reshma Modi , Maya Alagh , Kabir Sadanand ",Hindi
Hum Dil De Chuke Sanam,1999,7.4,Sanjay Leela Bhansali (dir.)," Aishwarya Rai Bachchan, Salman Khan"," Aishwarya Rai Bachchan , Salman Khan , Ajay Devgn , Zohra Sehgal , Vikram Gokhale , Smita Jaykar , Rekha Rao , Rajeev Verma , Keneth Desai , Ghanshyam Nayak , Vinay Pathak , Sheeba Chaddha , Meenakshi Verma , Preeti Koppikar , Divya Jagdale ",Hindi
Hum Aapke Hain Koun!,1994,7.4,Sooraj R. Barjatya (dir.)," Madhuri Dixit, Salman Khan"," Madhuri Dixit , Salman Khan , Mohnish Bahl , Renuka Shahane , Anupam Kher , Reema Lagoo , Alok Nath , Bindu , Ajit Vachani , Satish Shah , Himani Shivpuri , Sahila Chaddha , Dilip Joshi , Laxmikant Berde , Priya Arun ",Hindi
Rangeela,1995,7.4,Ram Gopal Varma (dir.)," Urmila Matondkar, Aamir Khan"," Urmila Matondkar , Aamir Khan , Jackie Shroff , Gulshan Grover , Avtar Gill , Achyut Potdar , Reema Lagoo , Ram Mohan , Shammi , Shefali Shah , Rajesh Joshi , Suman , Tarun , Rajeev Mehta , Ramdas ",Hindi
Socha Na Tha,2005,7.4,Imtiaz Ali (dir.)," Abhay Deol, Ayesha Takia"," Abhay Deol , Ayesha Takia , Ayesha Jhulka , Apoorva Jha , Rati Agnihotri , Sandhya Mridul , Sohrab Ardeshir , Manish Chaudhary , Lushin Dubey , Kamlesh Gill , Anamika Goel , Vijay Maurya , Suresh Oberoi , Salim Shah , Shakti Singh ",Hindi
Jaane Tu Ya Jaane Na,2008,7.4,Abbas Tyrewala (dir.)," Imran Khan, Genelia D'Souza"," Imran Khan , Genelia D'Souza , Manjari Fadnnis , Ayaz Khan , Karan Makhija , Sugandha Garg , Nirav Mehta , Alishka Varde , Renuka Kunzru , Prateik , Anuradha Patel , Jayant Kripalani , Ratna Pathak Shah , Padam Bhola , Shakun Batra ",Hindi
Ghilli,2004,7.4,Dharani (dir.)," Joseph Vijay, Trisha Krishnan"," Joseph Vijay , Trisha Krishnan , Prakash Raj , Ashish Vidyarthi , Janaki Sabesh , Nagendra Prasad , Tanikella Bharani , Dhamu , Baby Jeniffer , Brahmanandam , Mayilsamy , 'Nandha' Saravanan , Saai Sundar , Murugadass , Karate Raja ",Tamil
